Campaign,Ad Group,Keyword,Current match type,Action,Reason
AI Literacy,Ai Fluency,artificial intelligence online course,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai ethics,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,learn ai online,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai classes,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai university courses,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,"""learn ai online""",Phrase match,Keep,Already phrase match
AI Literacy,Ai Fluency,best ai courses,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,"""ai ethics""",Phrase match,Keep,Already phrase match
AI Literacy,Ai Fluency,ai learning course,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,machine learning and artificial intelligence courses,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai training programs,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai programming course,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai finance courses,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,Ai Fluency,ai in finance courses,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,Ai Fluency,ai for business course,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,Ai Fluency,ai in teaching and learning,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai in healthcare course,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,Ai Fluency,ai capstone project,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,Ai Fluency,ai interpretability,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai for finance course,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,Ai Fluency,ai engineer course,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,course on ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,about ai course,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai healthcare course,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,Ai Fluency,ai for healthcare course,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,Ai Fluency,ai basics course,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,building ai course,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai course in engineering,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,"""ai interpretability""",Phrase match,Keep,Already phrase match
AI Literacy,Ai Fluency,ethical ai course,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,Ai Fluency,ai fluency,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,"""ai capstone project""",Phrase match,Keep,Already phrase match
AI Literacy,Ai Fluency,ai specialization courses,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,"""ai literacy""",Phrase match,Keep,Already phrase match
AI Literacy,Ai Fluency,ai literacy,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,generative ai course,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,"""ai fluency""",Phrase match,Keep,Already phrase match
Fellows,Fellows Program,ai development,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,ai developers,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,artificial intelligence software development,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,ai software engineer,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,ai for social good,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,"""open source ai projects""",Phrase match,Keep,Already phrase match
Fellows,Fellows Program,ai software developers,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,"""data science volunteer opportunities""",Phrase match,Keep,Already phrase match
Fellows,Fellows Program,web development ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,software engineer ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,ai career development,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,generative ai aws,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Fellows,Fellows Program,"""ai mentorship program""",Phrase match,Keep,Already phrase match
Fellows,Fellows Program,"""volunteer ai projects""",Phrase match,Keep,Already phrase match
Fellows,Fellows Program,"""nonprofit technology fellowship""",Phrase match,Keep,Already phrase match
Fellows,Fellows Program,"""build ai portfolio""",Phrase match,Keep,Already phrase match
Fellows,Fellows Program,"""remote data science volunteering""",Phrase match,Keep,Already phrase match
Fellows,Fellows Program,"""ai research volunteer""",Phrase match,Keep,Already phrase match
Fellows,OPT,opt volunteer work,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Fellows,OPT,"""opt volunteer work""",Phrase match,Keep,Already phrase match
Fellows,OPT,opt volunteer opportunities,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Fellows,OPT,unpaid volunteer opt,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Fellows,OPT,f1 opt volunteer work,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Fellows,OPT,volunteer work on opt,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Fellows,OPT,stem opt volunteer work,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Fellows,OPT,volunteer work for opt,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Fellows,OPT,volunteer during opt,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Fellows,OPT,opt volunteer requirements,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Fellows,OPT,"""volunteer work for opt""",Phrase match,Keep,Already phrase match
Fellows,OPT,"""opt volunteer requirements""",Phrase match,Keep,Already phrase match
Fellows,OPT,"""volunteer during opt""",Phrase match,Keep,Already phrase match
Humanitarians AI,Lyrical Literacy,educational songs for toddlers,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Humanitarians AI,Lyrical Literacy,educational songs,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,Lyrical Literacy,educational music for kids,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,Lyrical Literacy,music for brain development,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Humanitarians AI,Lyrical Literacy,neuroscience of music,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,Lyrical Literacy,songs for language learning,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Humanitarians AI,Lyrical Literacy,songs for adhd focus,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Humanitarians AI,Lyrical Literacy,music for reading comprehension,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
